,0
0,0 days 00:00:00.004089000
1,0 days 00:00:00.005169000
2,0 days 00:00:00.004001000
3,0 days 00:00:00.004216000
4,0 days 00:00:00.004115000
5,0 days 00:00:00.006324000
6,0 days 00:00:00.004092000
7,0 days 00:00:00.004315000
8,0 days 00:00:00.004106000
9,0 days 00:00:00.004319000
10,0 days 00:00:00.004098000
11,0 days 00:00:00.004874000
12,0 days 00:00:00.003980000
13,0 days 00:00:00.004246000
14,0 days 00:00:00.004232000
15,0 days 00:00:00.004266000
16,0 days 00:00:00.004365000
17,0 days 00:00:00.004169000
18,0 days 00:00:00.004088000
19,0 days 00:00:00.004164000
20,0 days 00:00:00.004272000
21,0 days 00:00:00.004214000
22,0 days 00:00:00.004295000
23,0 days 00:00:00.004543000
24,0 days 00:00:00.004422000
25,0 days 00:00:00.004295000
26,0 days 00:00:00.004293000
27,0 days 00:00:00.004565000
28,0 days 00:00:00.004219000
29,0 days 00:00:00.004434000
30,0 days 00:00:00.003869000
31,0 days 00:00:00.004279000
32,0 days 00:00:00.004156000
33,0 days 00:00:00.004617000
34,0 days 00:00:00.003794000
35,0 days 00:00:00.004265000
36,0 days 00:00:00.004143000
37,0 days 00:00:00.004764000
38,0 days 00:00:00.004388000
39,0 days 00:00:00.004614000
40,0 days 00:00:00.004256000
41,0 days 00:00:00.004417000
42,0 days 00:00:00.004440000
43,0 days 00:00:00.004677000
44,0 days 00:00:00.004237000
45,0 days 00:00:00.004581000
46,0 days 00:00:00.004317000
47,0 days 00:00:00.004523000
48,0 days 00:00:00.004386000
49,0 days 00:00:00.004267000
50,0 days 00:00:00.004395000
51,0 days 00:00:00.004332000
52,0 days 00:00:00.004319000
53,0 days 00:00:00.004667000
54,0 days 00:00:00.004240000
55,0 days 00:00:00.005506000
56,0 days 00:00:00.004318000
57,0 days 00:00:00.004429000
58,0 days 00:00:00.004342000
59,0 days 00:00:00.004349000
60,0 days 00:00:00.004510000
61,0 days 00:00:00.004435000
62,0 days 00:00:00.004187000
63,0 days 00:00:00.005422000
64,0 days 00:00:00.004212000
65,0 days 00:00:00.004333000
66,0 days 00:00:00.003796000
67,0 days 00:00:00.004416000
68,0 days 00:00:00.004284000
69,0 days 00:00:00.004352000
70,0 days 00:00:00.004217000
71,0 days 00:00:00.004318000
72,0 days 00:00:00.004236000
73,0 days 00:00:00.004319000
74,0 days 00:00:00.004242000
75,0 days 00:00:00.004365000
76,0 days 00:00:00.004450000
77,0 days 00:00:00.004714000
78,0 days 00:00:00.004234000
79,0 days 00:00:00.004645000
80,0 days 00:00:00.004316000
81,0 days 00:00:00.004841000
82,0 days 00:00:00.004604000
83,0 days 00:00:00.004493000
84,0 days 00:00:00.004495000
85,0 days 00:00:00.004369000
86,0 days 00:00:00.004372000
87,0 days 00:00:00.004441000
88,0 days 00:00:00.004397000
89,0 days 00:00:00.004405000
90,0 days 00:00:00.004114000
91,0 days 00:00:00.004736000
92,0 days 00:00:00.004619000
93,0 days 00:00:00.004540000
94,0 days 00:00:00.004483000
95,0 days 00:00:00.004541000
96,0 days 00:00:00.004144000
97,0 days 00:00:00.004768000
98,0 days 00:00:00.004550000
99,0 days 00:00:00.004903000
100,0 days 00:00:00.004586000
101,0 days 00:00:00.004524000
102,0 days 00:00:00.004396000
103,0 days 00:00:00.004601000
104,0 days 00:00:00.004486000
105,0 days 00:00:00.004905000
106,0 days 00:00:00.004533000
107,0 days 00:00:00.004832000
108,0 days 00:00:00.004555000
109,0 days 00:00:00.004373000
110,0 days 00:00:00.004732000
111,0 days 00:00:00.004715000
112,0 days 00:00:00.004354000
113,0 days 00:00:00.005671000
114,0 days 00:00:00.004497000
115,0 days 00:00:00.004781000
116,0 days 00:00:00.004446000
117,0 days 00:00:00.004430000
118,0 days 00:00:00.004510000
119,0 days 00:00:00.004485000
120,0 days 00:00:00.004536000
121,0 days 00:00:00.005027000
122,0 days 00:00:00.004414000
123,0 days 00:00:00.004392000
124,0 days 00:00:00.004572000
125,0 days 00:00:00.004504000
126,0 days 00:00:00.004521000
127,0 days 00:00:00.004481000
128,0 days 00:00:00.004427000
129,0 days 00:00:00.004606000
130,0 days 00:00:00.004438000
131,0 days 00:00:00.004506000
132,0 days 00:00:00.004340000
133,0 days 00:00:00.004372000
134,0 days 00:00:00.004657000
135,0 days 00:00:00.004532000
136,0 days 00:00:00.004432000
137,0 days 00:00:00.004617000
138,0 days 00:00:00.004431000
139,0 days 00:00:00.004837000
140,0 days 00:00:00.004547000
141,0 days 00:00:00.004789000
142,0 days 00:00:00.004604000
143,0 days 00:00:00.006381000
144,0 days 00:00:00.004454000
145,0 days 00:00:00.004599000
146,0 days 00:00:00.004604000
147,0 days 00:00:00.005247000
148,0 days 00:00:00.004493000
149,0 days 00:00:00.004932000
150,0 days 00:00:00.005026000
151,0 days 00:00:00.004910000
152,0 days 00:00:00.004582000
153,0 days 00:00:00.004464000
154,0 days 00:00:00.004536000
155,0 days 00:00:00.004516000
156,0 days 00:00:00.004483000
157,0 days 00:00:00.004501000
158,0 days 00:00:00.004562000
159,0 days 00:00:00.005049000
160,0 days 00:00:00.004557000
161,0 days 00:00:00.004712000
162,0 days 00:00:00.004443000
163,0 days 00:00:00.004593000
164,0 days 00:00:00.004490000
165,0 days 00:00:00.004813000
166,0 days 00:00:00.004373000
167,0 days 00:00:00.005002000
168,0 days 00:00:00.004591000
169,0 days 00:00:00.004984000
170,0 days 00:00:00.004580000
171,0 days 00:00:00.004985000
172,0 days 00:00:00.004523000
173,0 days 00:00:00.004920000
174,0 days 00:00:00.004854000
175,0 days 00:00:00.004790000
176,0 days 00:00:00.004711000
177,0 days 00:00:00.004460000
178,0 days 00:00:00.004536000
179,0 days 00:00:00.004962000
180,0 days 00:00:00.004383000
181,0 days 00:00:00.004718000
182,0 days 00:00:00.004483000
183,0 days 00:00:00.004931000
184,0 days 00:00:00.004540000
185,0 days 00:00:00.004755000
186,0 days 00:00:00.004896000
187,0 days 00:00:00.004958000
188,0 days 00:00:00.004492000
189,0 days 00:00:00.005043000
190,0 days 00:00:00.004536000
191,0 days 00:00:00.004758000
192,0 days 00:00:00.004607000
193,0 days 00:00:00.004777000
194,0 days 00:00:00.004655000
195,0 days 00:00:00.004594000
196,0 days 00:00:00.004578000
197,0 days 00:00:00.004619000
198,0 days 00:00:00.004587000
199,0 days 00:00:00.005088000
200,0 days 00:00:00.004601000
201,0 days 00:00:00.004491000
202,0 days 00:00:00.004462000
203,0 days 00:00:00.005106000
204,0 days 00:00:00.004595000
205,0 days 00:00:00.004986000
206,0 days 00:00:00.004640000
207,0 days 00:00:00.004917000
208,0 days 00:00:00.004926000
209,0 days 00:00:00.004656000
210,0 days 00:00:00.004243000
211,0 days 00:00:00.004915000
212,0 days 00:00:00.004777000
213,0 days 00:00:00.004648000
214,0 days 00:00:00.004627000
215,0 days 00:00:00.005765000
216,0 days 00:00:00.004953000
217,0 days 00:00:00.004729000
218,0 days 00:00:00.004948000
219,0 days 00:00:00.005062000
220,0 days 00:00:00.004606000
221,0 days 00:00:00.005036000
222,0 days 00:00:00.004674000
223,0 days 00:00:00.005197000
224,0 days 00:00:00.004922000
225,0 days 00:00:00.004662000
226,0 days 00:00:00.005020000
227,0 days 00:00:00.005117000
228,0 days 00:00:00.004660000
229,0 days 00:00:00.004853000
230,0 days 00:00:00.005083000
231,0 days 00:00:00.005083000
232,0 days 00:00:00.004619000
233,0 days 00:00:00.004863000
234,0 days 00:00:00.004613000
235,0 days 00:00:00.004884000
236,0 days 00:00:00.004973000
237,0 days 00:00:00.005013000
238,0 days 00:00:00.004886000
239,0 days 00:00:00.004667000
240,0 days 00:00:00.004705000
241,0 days 00:00:00.005062000
242,0 days 00:00:00.004674000
243,0 days 00:00:00.005730000
244,0 days 00:00:00.004703000
245,0 days 00:00:00.005155000
246,0 days 00:00:00.004724000
247,0 days 00:00:00.005241000
248,0 days 00:00:00.004858000
249,0 days 00:00:00.004999000
250,0 days 00:00:00.004629000
251,0 days 00:00:00.004954000
252,0 days 00:00:00.005039000
253,0 days 00:00:00.005079000
254,0 days 00:00:00.004692000
255,0 days 00:00:00.004893000
256,0 days 00:00:00.004958000
257,0 days 00:00:00.005344000
258,0 days 00:00:00.004865000
259,0 days 00:00:00.005021000
260,0 days 00:00:00.004800000
261,0 days 00:00:00.004946000
262,0 days 00:00:00.004981000
263,0 days 00:00:00.005382000
264,0 days 00:00:00.004937000
265,0 days 00:00:00.006160000
266,0 days 00:00:00.004834000
267,0 days 00:00:00.005305000
268,0 days 00:00:00.004881000
269,0 days 00:00:00.005394000
270,0 days 00:00:00.004688000
271,0 days 00:00:00.005144000
